TiePointId,MunicipalityName,TiePointName,LPCSNorthing,LPCSEasting,PPCSNorthing,PPCSEasting,PRSNorthing,PRSEasting
5268,ECHAGUE,"CAD 210, BBM # 17",20625.52,17599.54,,,,
5269,ECHAGUE,"CAD 210, BBM # 18",20470.69,16678.69,,,,
5270,ECHAGUE,"CAD 210, BBM # 19",19809.17,15832.36,,,,
5271,ECHAGUE,"CAD 210, BBM # 20",19115.12,15974.54,,,,
5272,ECHAGUE,"CAD 210, BBM # 21",19092.59,17233,,,,
5273,ECHAGUE,"CAD 210, BBM # 22",19159.87,17779.34,,,,
5274,ECHAGUE,"CAD 210, BBM # 24",16581.65,17589.35,,,,
5275,ECHAGUE,"CAD 210, BBM # 25",14912.7,19130.26,,,,
5276,ECHAGUE,"CAD 210, BBM # 26",10913.62,20221.98,,,,
5277,ECHAGUE,"CAD 210, BBM # 27",17709.45,13137.36,,,,
5278,ECHAGUE,"CAD 210, BBM # 3",22491.69,21540.39,,,,
5279,ECHAGUE,"CAD 210, BBM # 4",21759.71,23079.05,,,,
5280,ECHAGUE,"CAD 210, BLBM # 1",14944.91,17936.49,,,,
5281,ECHAGUE,"CAD 210, BLBM # 3",14857.21,18015.96,,,,
5282,ECHAGUE,"CAD 210, BLLM # 1",20000,20000,,,,
5284,ECHAGUE,"CAD 210, BLLM # 11",23553.09,13588.35,,,,
5285,ECHAGUE,"CAD 210, BLLM # 12",24725.2,14427.28,,,,
5287,ECHAGUE,"CAD 210, BLLM # 14",26487.97,14366.08,,,,
5288,ECHAGUE,"CAD 210, BLLM # 15",21034.37,14434.37,,,,
5289,ECHAGUE,"CAD 210, BLLM # 16",22369.07,13139.47,,,,
5291,ECHAGUE,"CAD 210, BLLM # 18",17104.23,14482.08,,,,
5292,ECHAGUE,"CAD 210, BLLM # 19",17730.75,17449.56,,,,
5293,ECHAGUE,"CAD 210, BLLM # 2",19923.74,19876.9,,,,
5294,ECHAGUE,"CAD 210, BLLM # 20",13440.34,18967.63,,,,
5295,ECHAGUE,"CAD 210, BLLM # 21",13985.76,16279.53,,,,
5296,ECHAGUE,"CAD 210, BLLM # 22",11768.25,19176.31,,,,
5298,ECHAGUE,"CAD 210, BLLM # 26",18096.26,22354.07,,,,
