POINT,NORTH,EAST,ELEV,DESC
1277,1981313.925,569618.7004,55.6181,tp
1278,1981314.612,569622.058,55.0156,tp
1279,1981315.556,569625.9323,53.7176,tp
1280,1981310.327,569627.2632,52.9597,tp
1281,1981309.662,569623.0304,53.8361,tp
1282,1981309.036,569619.3004,54.4289,tp
1283,1981309.177,569616.4776,55.0944,tp
1284,1981308.269,569613.2198,55.3215,tp
1285,1981307.623,569609.9303,55.5191,tp
1286,1981307.49,569606.1544,55.5961,tp
1287,1981307.101,569603.0145,55.1926,tp
1288,1981306.527,569599.7569,54.6465,tp
1289,1981303.383,569601.2104,53.8082,tp
1290,1981303.922,569605.6768,54.4102,tp
1291,1981304.518,569609.8984,54.3452,tp
1292,1981305.765,569613.5609,54.4256,tp
1293,1981306.54,569617.1253,54.0622,tp
1294,1981306.655,569620.4937,53.4927,tp
1295,1981306.97,569623.7969,53.0692,tp
1296,1981307.591,569628.2014,52.4285,tp
1297,1981303.719,569629.4807,51.5621,tp
1298,1981302.364,569626.004,51.6993,tp
1299,1981301.923,569622.0218,52.0164,tp
1300,1981301.247,569618.1681,52.3555,tp
1301,1981300.02,569614.4137,52.3064,tp
1302,1981299.405,569611.0721,52.3897,tp
1303,1981298.239,569607.3128,52.3775,tp
1304,1981296.568,569603.7297,52.0151,tp
1305,1981295.991,569600.7888,51.5932,tp
1306,1981293.079,569601.0155,50.5736,tp
1307,1981293.166,569604.7885,50.9399,tp
1308,1981293.722,569608.3966,50.9288,tp
1309,1981293.708,569612.4353,50.366,tp
1310,1981294.507,569615.825,50.3647,tp
1311,1981295.25,569619.9508,50.2863,tp
1312,1981296.211,569623.7024,50.3824,tp
1313,1981297.508,569627.8546,50.5655,tp
1314,1981298.637,569630.8627,50.5734,tp
1315,1981293.413,569631.9926,49.7569,tree
1316,1981292.65,569627.5123,49.6045,tp
1317,1981292.217,569623.3509,49.5837,tp
1318,1981290.806,569619.6646,49.1627,tp
1319,1981290.639,569616.3116,49.2938,tp
1320,1981290.331,569612.6168,49.4282,tp
1321,1981289.375,569608.382,49.7992,tp
1322,1981288.904,569605.0982,49.6156,tp
1323,1981288.324,569601.5554,49.0426,tp
1324,1981294.287,569605.8504,51.3128,tp
1325,1981291.402,569606.9958,50.4373,tp
1326,1981286.775,569607.7882,49.17,tp
